date,total_calls,dayofweek,month,is_weekend,is_holiday,lag1,rolling7_mean,rolling7_std
2025-03-25,8629,1,3,False,False,8303.0,8290.285714285714,397.4739883672935
2025-03-26,8317,2,3,False,False,8629.0,8226.0,339.716057907235
2025-03-27,8226,3,3,False,False,8317.0,8234.42857142857,338.7387671657678
2025-03-28,8570,4,3,False,False,8226.0,8232.285714285714,336.18928908469104
2025-03-29,7808,5,3,True,False,8570.0,8241.285714285714,321.4922053413892
2025-03-30,8136,6,3,True,False,7808.0,8284.142857142857,275.110540553868
2025-03-31,7439,0,3,False,False,8136.0,8160.714285714285,420.5915335515802
2025-04-01,7825,1,4,False,False,7439.0,8045.857142857143,379.13297076862267
2025-04-02,8674,2,4,False,False,7825.0,8096.857142857143,440.6980933971026
2025-04-03,8342,3,4,False,False,8674.0,8113.428571428572,448.475884577589
2025-04-04,8702,4,4,False,False,8342.0,8132.285714285715,472.9787571994505
2025-04-05,7412,5,4,True,False,8702.0,8075.714285714285,537.5099113150721
2025-04-06,7267,6,4,True,False,7412.0,7951.571428571428,615.9011980133805
2025-04-07,8076,0,4,False,False,7267.0,8042.571428571428,573.1189106235437
2025-04-08,8294,1,4,False,False,8076.0,8109.571428571428,570.8542888055156
2025-04-09,8461,2,4,False,False,8294.0,8079.142857142857,540.6306282393813
2025-04-10,7944,3,4,False,False,8461.0,8022.285714285715,529.1863925832464
2025-04-11,7332,4,4,False,False,7944.0,7826.571428571428,487.6104514681605
2025-04-12,6625,5,4,True,False,7332.0,7714.142857142857,659.546164310864
2025-04-13,7444,6,4,True,False,6625.0,7739.428571428572,642.724891158197
2025-04-14,7832,0,4,False,False,7444.0,7704.571428571428,627.8741532990371
2025-04-15,7864,1,4,False,False,7832.0,7643.142857142857,579.7891652924417
2025-04-16,7593,2,4,False,False,7864.0,7519.142857142857,455.141893102769
2025-04-17,7333,3,4,False,False,7593.0,7431.857142857143,417.0808988559718
2025-04-18,7935,4,4,False,False,7333.0,7518.0,453.6841779623385
2025-04-19,8466,5,4,True,False,7935.0,7781.0,376.8394883767233
2025-04-20,7542,6,4,True,False,8466.0,7795.0,363.8287142782493
2025-04-21,7405,0,4,False,False,7542.0,7734.0,391.34639387635906
2025-04-22,8035,1,4,False,False,7405.0,7758.428571428572,405.88087626090027
2025-04-23,7435,2,4,False,False,8035.0,7735.857142857143,420.7352408072959
2025-04-24,7374,3,4,False,False,7435.0,7741.714285714285,414.43041807835715
2025-04-25,7780,4,4,False,False,7374.0,7719.571428571428,406.44591979046373
2025-04-26,6772,5,4,True,False,7780.0,7477.571428571428,391.9986637489746
2025-04-27,6816,6,4,True,False,6772.0,7373.857142857143,461.91753541496814
2025-04-28,6675,0,4,False,False,6816.0,7269.571428571428,530.9597778686388
2025-04-29,4432,1,4,False,False,6675.0,6754.857142857143,1103.2470905727196
2025-04-30,9,2,4,False,False,4432.0,5694.0,2722.4068395447484
2025-05-01,2,3,5,False,False,9.0,4640.857142857143,3323.694953339907
2025-05-08,1,3,5,False,False,2.0,3529.5714285714284,3398.8001244136594
2025-05-09,1,4,5,False,False,1.0,2562.285714285714,3283.7741352639637
2025-05-12,1,0,5,False,False,1.0,1588.7142857142858,2784.787407462538
2025-06-04,1,2,6,False,False,1.0,635.2857142857143,1674.1961966155345
